customerID,gender,SeniorCitizen,Partner,Dependents,tenure,PhoneService,MultipleLines,InternetService,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,Contract,PaperlessBilling,PaymentMethod,MonthlyCharges,TotalCharges,Churn,tenure_group,tenure_months,tenure_years,avg_monthly_revenue,charge_ratio,total_services,family_size,contract_tenure_ratio,loyalty_score
7590-VHVEG,0,0,1,0,1,0,1,0,0,2,0,0,0,0,0,1,2,29.85,29.85,0,0,1,0,29.85,0.99999999999665,2,2,1.0,1
5575-GNVDE,1,0,0,0,34,1,0,0,2,0,2,0,0,0,1,0,3,56.95,1889.5,0,2,10,2,55.5735294117647,0.030140248743052125,4,1,2.8333333333333335,68
3668-QPYBK,1,0,0,0,2,1,0,0,2,2,0,0,0,0,0,1,3,53.85,108.15,1,0,2,0,54.075,0.49791955617152295,4,1,2.0,2
7795-CFOCW,1,0,0,0,45,0,1,0,2,0,2,2,0,0,1,0,0,42.3,1840.75,0,3,9,3,40.90555555555556,0.02297976368328002,4,1,3.75,90
9237-HQITU,0,0,0,0,2,1,0,1,0,0,0,0,0,0,0,1,2,70.7,151.65,1,0,2,0,75.825,0.4662050774807345,2,1,2.0,2
9305-CDSKC,0,0,0,0,8,1,2,1,0,0,2,0,2,2,0,1,2,99.65,820.5,1,0,8,0,102.5625,0.12145033516147209,6,1,8.0,8
1452-KIOVK,1,0,0,1,22,1,2,1,0,2,0,0,2,0,0,1,1,89.1,1949.4,0,1,10,1,88.60909090909091,0.04570637119113338,5,2,22.0,22
6713-OKOMC,0,0,0,0,10,0,1,0,2,0,0,0,0,0,0,0,3,29.75,301.9,0,0,10,0,30.189999999999998,0.09854256376280275,2,1,10.0,10
7892-POOKP,0,0,1,0,28,1,2,1,0,0,2,2,2,2,0,1,2,104.8,3046.05,1,2,4,2,108.78750000000001,0.034405213309038445,7,2,28.0,28
6388-TABGU,1,0,0,1,62,1,0,0,2,2,0,0,0,0,1,0,0,56.15,3487.95,0,5,2,5,56.25725806451613,0.016098281225361142,4,2,5.166666666666667,124
9763-GRSKD,1,0,1,1,13,1,0,0,2,0,0,0,0,0,0,1,3,49.95,587.45,0,1,1,1,45.18846153846154,0.08502851306492722,3,3,13.0,13
7469-LKBCI,1,0,0,0,16,1,0,2,1,1,1,1,1,1,2,0,1,18.95,326.8,0,1,4,1,20.425,0.057986536107693394,1,1,0.6666666666666666,48
8091-TTVAX,1,0,1,0,58,1,2,1,0,0,2,0,2,2,1,0,1,100.35,5681.1,0,4,10,4,97.95,0.017663832708454036,6,2,4.833333333333333,116
0280-XJGEX,1,0,0,0,49,1,2,1,0,2,2,0,2,2,0,1,0,103.7,5036.3,1,4,1,4,102.78163265306122,0.02059051287651608,7,1,49.0,49
5129-JLPIS,1,0,0,0,25,1,0,1,2,0,2,2,2,2,0,1,2,105.5,2686.05,0,2,1,2,107.44200000000001,0.03927700526795706,7,1,25.0,25
3655-SNQYZ,0,0,1,1,69,1,2,1,2,2,2,2,2,2,2,0,1,113.25,7895.15,0,5,9,5,114.42246376811593,0.014344249317618863,9,3,2.875,207
8191-XWSZG,0,0,0,0,52,1,0,2,1,1,1,1,1,1,1,0,3,20.65,1022.95,0,4,4,4,19.672115384615385,0.02018671489319906,1,1,4.333333333333333,104
9959-WOFKT,1,0,0,1,71,1,2,1,2,0,2,0,2,2,2,0,0,106.7,7382.25,0,5,11,5,103.97535211267606,0.014453587998238824,7,2,2.9583333333333335,213
4190-MFLUW,0,0,1,1,10,1,0,0,0,0,2,2,0,0,0,0,1,55.2,528.35,1,0,10,0,52.835,0.10447619948895533,4,3,10.0,10
4183-MYFRB,0,0,0,0,21,1,0,1,0,2,2,0,0,2,0,1,2,90.05,1862.9,0,1,9,1,88.70952380952382,0.04833861184174951,5,1,21.0,21
8779-QRDMV,1,1,0,0,1,0,1,0,0,0,2,0,0,2,0,1,2,39.65,39.65,1,0,1,0,39.65,0.9999999999974779,3,1,1.0,1
1680-VDCWW,1,0,1,0,12,1,0,2,1,1,1,1,1,1,1,0,0,19.8,202.25,0,0,0,1,16.854166666666668,0.09789864029661415,1,2,1.0,24
1066-JKSGK,1,0,0,0,1,1,0,2,1,1,1,1,1,1,0,0,3,20.15,20.15,1,0,1,0,20.15,0.9999999999950373,1,1,1.0,1
3638-WEABW,0,0,1,0,58,1,2,0,0,2,0,2,0,0,2,1,1,59.9,3505.1,0,4,10,4,60.432758620689654,0.01708938404039779,5,2,2.4166666666666665,174
6322-HRPFA,1,0,1,1,49,1,0,0,2,2,0,2,0,0,0,0,1,59.6,2970.3,0,4,1,4,60.61836734693878,0.02006531326801939,5,3,49.0,49
6865-JZNKO,0,0,0,0,30,1,0,0,2,2,0,0,0,0,0,1,0,55.3,1530.6,0,2,6,2,51.019999999999996,0.036129622370309936,4,1,30.0,30
6467-CHFZW,1,0,1,1,47,1,2,1,0,2,0,0,2,2,0,1,2,99.35,4749.15,1,3,11,3,101.04574468085106,0.02091953296905718,6,3,47.0,47
8665-UTDHZ,1,0,1,1,1,0,1,0,0,2,0,0,0,0,0,0,2,30.2,30.2,1,0,1,0,30.2,0.9999999999966888,2,3,1.0,1
5248-YGIJN,1,0,1,0,72,1,2,0,2,2,2,2,2,2,2,1,1,90.25,6369.45,0,5,0,6,88.46458333333334,0.014169198282426047,9,2,3.0,216
8773-HHUOZ,0,0,0,1,17,1,0,0,0,0,0,0,2,2,0,1,3,64.7,1093.1,1,1,5,1,64.3,0.05918946116548723,4,2,17.0,17
3841-NFECX,0,1,1,0,71,1,2,1,2,2,2,2,0,0,2,1,1,96.35,6766.95,0,5,11,5,95.30915492957746,0.01423832007034167,7,2,2.9583333333333335,213
4929-XIHVW,1,1,1,0,2,1,0,1,0,0,2,0,2,2,0,1,1,95.5,181.65,0,0,2,0,90.825,0.5257363060828375,5,2,2.0,2
6827-IEAUQ,0,0,1,1,27,1,0,0,2,2,2,2,0,0,1,0,3,66.15,1874.45,0,2,3,2,69.42407407407407,0.03529035183653684,6,3,2.25,54
7310-EGVHZ,1,0,0,0,1,1,0,2,1,1,1,1,1,1,0,0,0,20.2,20.2,0,0,1,0,20.2,0.9999999999950496,1,1,1.0,1
3413-BMNZE,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,45.25,45.25,0,0,1,0,45.25,0.99999999999779,2,1,1.0,1
6234-RAAPL,0,0,1,1,72,1,2,1,2,2,0,2,2,0,2,0,0,99.9,7251.7,0,5,0,6,100.71805555555555,0.013776080091564547,7,3,3.0,216
6047-YHPVI,1,0,0,0,5,1,0,1,0,0,0,0,0,0,0,1,2,69.7,316.9,1,0,5,0,63.379999999999995,0.21994319974748505,2,1,5.0,5
6572-ADKRS,0,0,0,0,46,1,0,1,0,0,2,0,0,0,0,1,1,74.8,3548.3,0,3,10,3,77.13695652173914,0.0210805174308818,3,1,46.0,46
5380-WJKOV,1,0,0,0,34,1,2,1,0,2,2,0,2,2,0,1,2,106.35,3549.25,1,2,10,2,104.38970588235294,0.029964076917657814,7,1,34.0,34
8168-UQWWF,0,0,0,0,11,1,2,1,0,0,2,0,2,2,0,1,0,97.85,1105.4,1,0,11,0,100.4909090909091,0.08851999276279278,6,1,11.0,11
8865-TNMNX,1,0,1,1,10,1,0,0,0,2,0,0,0,0,1,0,3,49.55,475.7,0,0,10,0,47.57,0.10416228715574855,3,3,0.8333333333333334,20
9489-DEDVP,0,0,1,1,70,1,2,0,2,2,0,0,2,0,2,1,1,69.2,4872.35,0,5,10,5,69.605,0.014202592178312021,6,3,2.9166666666666665,210
9867-JCZSP,0,0,1,1,17,1,0,2,1,1,1,1,1,1,1,0,3,20.75,418.25,0,1,5,1,24.602941176470587,0.049611476389707206,1,3,1.4166666666666667,34
4671-VJLCL,0,0,0,0,63,1,2,0,2,2,2,2,2,0,2,1,1,79.85,4861.45,0,5,3,5,77.16587301587302,0.01642514064733739,8,1,2.625,189
4080-IIARD,0,0,1,0,13,1,2,0,2,2,0,2,2,0,0,1,2,76.2,981.45,0,1,1,1,75.49615384615385,0.07764022619592667,7,2,13.0,13
3714-NTNFO,0,0,0,0,49,1,2,1,0,0,0,0,0,2,0,1,2,84.5,3906.7,0,4,1,4,79.72857142857143,0.021629508280645516,4,1,49.0,49
5948-UJZLF,1,0,0,0,2,1,0,0,0,2,0,0,0,0,0,0,3,49.25,97.0,0,0,2,0,48.5,0.5077319587623631,3,1,2.0,2
